高清频道,#genre#
辽宁卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225832/index.m3u8
辽宁卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227141/index.m3u8
重庆卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225831/index.m3u8
重庆卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227240/index.m3u8
黑龙江卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225862/index.m3u8
黑龙江卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227197/index.m3u8
上海纪实人文HD,http://183.251.61.207/PLTV/88888888/224/3221227213/index.m3u8
江西陶瓷HD,http://183.251.61.207/PLTV/88888888/224/3221227234/index.m3u8
湖南快乐垂钓HD,http://183.251.61.207/PLTV/88888888/224/3221226940/index.m3u8
湖南快乐垂钓HD,http://183.251.61.207/PLTV/88888888/224/3221227028/index.m3u8
湖南金鹰纪实HD,http://183.251.61.207/PLTV/88888888/224/3221226937/index.m3u8
湖南金鹰纪实HD,http://183.251.61.207/PLTV/88888888/224/3221226975/index.m3u8
SiTV全纪实HD,http://183.251.61.207/PLTV/88888888/224/3221227083/index.m3u8
SiTV动漫秀场HD,http://183.251.61.207/PLTV/88888888/224/3221227071/index.m3u8
SiTV极速汽车HD,http://183.251.61.207/PLTV/88888888/224/3221227186/index.m3u8
SiTV欢笑剧场HD,http://183.251.61.207/PLTV/88888888/224/3221227145/index.m3u8
SiTV游戏风云HD,http://183.251.61.207/PLTV/88888888/224/3221227075/index.m3u8
SiTV生活时尚HD,http://183.251.61.207/PLTV/88888888/224/3221227091/index.m3u8
SiTV都市剧场HD,http://183.251.61.207/PLTV/88888888/224/3221227204/index.m3u8
NewTV中国功夫HD,http://183.251.61.207/PLTV/88888888/224/3221225896/index.m3u8
NewTV军事评论HD,http://183.251.61.207/PLTV/88888888/224/3221225890/index.m3u8
NewTV军旅剧场HD,http://183.251.61.207/PLTV/88888888/224/3221225887/index.m3u8
NewTV动作电影HD,http://183.251.61.207/PLTV/88888888/224/3221225879/index.m3u8
NewTV古装剧场HD,http://183.251.61.207/PLTV/88888888/224/3221225880/index.m3u8
NewTV家庭剧场HD,http://183.251.61.207/PLTV/88888888/224/3221225882/index.m3u8
NewTV怡伴健康HD,http://183.251.61.207/PLTV/88888888/224/3221225883/index.m3u8
NewTV惊悚悬疑HD,http://183.251.61.207/PLTV/88888888/224/3221225885/index.m3u8
NewTV明星大片HD,http://183.251.61.207/PLTV/88888888/224/3221225893/index.m3u8
NewTV武搏世界HD,http://183.251.61.207/PLTV/88888888/224/3221225895/index.m3u8
NewTV潮妈辣婆HD,http://183.251.61.207/PLTV/88888888/224/3221226107/index.m3u8
NewTV爱情喜剧HD,http://183.251.61.207/PLTV/88888888/224/3221225877/index.m3u8
NewTV精品体育HD,http://183.251.61.207/PLTV/88888888/224/3221225886/index.m3u8
NewTV精品大剧HD,http://183.251.61.207/PLTV/88888888/224/3221225889/index.m3u8
NewTV精品纪录HD,http://183.251.61.207/PLTV/88888888/224/3221225888/index.m3u8
NewTV金牌综艺HD,http://183.251.61.207/PLTV/88888888/224/3221225884/index.m3u8
哒啵赛事HD,http://183.251.61.207/PLTV/88888888/224/3221225894/index.m3u8
哒啵赛事HD,http://183.251.61.207/PLTV/88888888/224/3221226676/index.m3u8
哒啵赛事HD,http://183.251.61.207/PLTV/88888888/224/3221226680/index.m3u8
黑莓动画HD,http://183.251.61.207/PLTV/88888888/224/3221225878/index.m3u8
黑莓电影HD,http://183.251.61.207/PLTV/88888888/224/3221225891/index.m3u8
百视通剧集1HD,http://183.251.61.207/PLTV/88888888/224/3221226692/index.m3u8
百视通剧集2HD,http://183.251.61.207/PLTV/88888888/224/3221225881/index.m3u8
百视通剧集3HD,http://183.251.61.207/PLTV/88888888/224/3221227045/index.m3u8
百视通剧集4HD,http://183.251.61.207/PLTV/88888888/224/3221227134/index.m3u8
百视通动画1HD,http://183.251.61.207/PLTV/88888888/224/3221226736/index.m3u8
百视通动画2HD,http://183.251.61.207/PLTV/88888888/224/3221226741/index.m3u8
百视通动画3HD,http://183.251.61.207/PLTV/88888888/224/3221226743/index.m3u8
百视通电影1HD,http://183.251.61.207/PLTV/88888888/224/3221226708/index.m3u8
百视通电影2HD,http://183.251.61.207/PLTV/88888888/224/3221226712/index.m3u8
百视通电影3HD,http://183.251.61.207/PLTV/88888888/224/3221227130/index.m3u8
百视通电影4HD,http://183.251.61.207/PLTV/88888888/224/3221227037/index.m3u8
福建乡村振兴HD,http://183.251.61.207/PLTV/88888888/224/3221227153/index.m3u8
福建少儿HD,http://183.251.61.207/PLTV/88888888/224/3221227194/index.m3u8
福建教育HD,http://183.251.61.207/PLTV/88888888/224/3221227202/index.m3u8
福建文体HD,http://183.251.61.207/PLTV/88888888/224/3221227188/index.m3u8
福建新闻HD,http://183.251.61.207/PLTV/88888888/224/3221227180/index.m3u8
福建旅游HD,http://183.251.61.207/PLTV/88888888/224/3221227190/index.m3u8
福建电视剧HD,http://183.251.61.207/PLTV/88888888/224/3221227079/index.m3u8
福建经济HD,http://183.251.61.207/PLTV/88888888/224/3221227184/index.m3u8
福建综合HD,http://183.251.61.207/PLTV/88888888/224/3221227149/index.m3u8
厦门1 3.5M1080,http://183.251.61.207/PLTV/88888888/224/3221227185/index.m3u8
厦门2 3.5M1080,http://183.251.61.207/PLTV/88888888/224/3221226777/index.m3u8
厦门3 3.5M1080,http://183.251.61.207/PLTV/88888888/224/3221226760/index.m3u8

IPV6,#genre#
CCTV-1 综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2 财经,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3 综艺,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
